GeneID	GSM2810102	GSM2810103	GSM2810104	GSM2810105	GSM2810106	GSM2810107	GSM2810114	GSM2810115	GSM2810116	GSM2810117	GSM2810118	GSM2810119
100287102	76	93	73	176	76	98	99	89	61	158	164	191
653635	102	107	94	236	73	69	155	106	170	240	271	210
102466751	6	9	11	18	5	6	22	9	5	11	12	9
107985730	10	8	2	16	8	6	10	4	7	14	18	14
100302278	1	0	0	4	3	0	1	0	5	3	0	1
645520	15	13	8	31	17	20	22	33	49	41	20	48
79501	0	3	3	3	3	10	1	1	4	7	4	9
100996442	35	41	30	54	55	42	37	64	86	82	86	121
729737	56	106	85	257	135	164	127	152	284	222	288	403
102725121	104	131	76	235	47	113	118	98	95	226	197	142
102723897	108	102	89	276	88	64	189	165	137	234	290	243
102465909	0	4	1	10	2	1	3	2	7	7	11	5
107985721	17	40	17	47	37	24	59	33	22	44	90	50
112268260	15	56	35	104	51	89	78	71	96	73	63	138
729759	2	5	6	7	1	8	5	4	7	8	0	7
100132287	43	72	53	134	99	88	121	126	164	111	177	206
105378947	54	64	27	182	58	97	66	55	106	111	181	96
101928626	4	6	1	18	2	8	1	0	1	13	14	10
113219467	121	76	351	101	20	71	23	70	73	55	85	111
81399	4	20	18	38	21	39	11	10	15	16	6	18
100133331	51	44	40	119	55	74	110	113	178	100	124	141
107984841	22	10	16	14	6	17	6	10	13	15	21	18
107984847	17	21	10	20	10	8	20	14	52	15	21	37
107984849	2	2	4	8	2	3	6	2	13	7	13	15
100288069	9	22	28	53	26	22	36	12	35	31	113	44
105378580	0	54	35	50	14	41	30	39	45	38	45	46
400728	14	33	5	20	25	17	12	11	22	21	22	30
79854	16	15	6	27	8	10	9	32	1	29	28	18
643837	27	140	55	146	90	88	103	113	162	138	90	162
107984850	11	26	11	48	27	44	51	12	43	34	28	47
284593	5	15	11	47	29	9	12	2	46	44	12	50
284600	30	42	40	88	48	44	138	40	152	162	70	119
100130417	44	32	17	47	31	43	96	55	60	67	118	95
107985728	36	36	43	156	76	81	123	127	137	129	97	177
148398	67	63	58	140	45	93	113	72	143	129	158	221
26155	83	102	95	145	160	124	204	154	105	190	196	237
339451	34	58	35	89	54	70	103	51	154	155	80	170
84069	38	69	55	181	96	69	175	71	181	163	176	253
84808	50	45	38	109	65	75	87	47	188	145	176	218
57801	39	28	26	55	58	62	77	33	122	59	116	121
9636	61	43	30	32	48	47	70	47	124	82	132	86
375790	214	158	133	350	196	229	434	275	392	379	390	736
100288175	10	7	12	36	19	14	49	6	37	45	54	52
