GeneID	GSM5106074	GSM5106075	GSM5106076	GSM5106077	GSM5106078	GSM5106079
100287102	1	1	0	2	1	2
653635	462	245	716	529	343	307
102466751	18	4	17	10	8	6
107985730	0	0	1	0	0	0
100302278	0	0	0	0	0	0
645520	2	0	1	1	3	4
79501	0	0	0	0	0	0
100996442	23	7	32	41	32	21
729737	172	146	896	671	295	183
102725121	0	1	0	1	0	1
102723897	511	271	834	570	430	358
102465909	8	3	11	9	6	2
107985721	0	0	0	1	1	2
112268260	35	27	19	19	20	16
729759	0	0	0	0	0	0
100132287	201	157	455	330	249	83
105378947	3	2	2	4	3	1
101928626	0	0	0	0	0	1
113219467	940	1345	1241	964	747	334
81399	3	2	7	9	6	2
100133331	193	103	338	245	235	71
107984841	66	2	63	72	31	19
107984847	116	5	88	117	44	21
107984849	32	3	29	43	26	7
100288069	42	4	14	44	37	34
105378580	23	11	16	27	22	23
400728	11	0	2	5	1	16
79854	30	30	37	26	22	27
643837	405	120	189	269	168	255
107984850	2	0	0	1	0	0
284593	2	0	0	3	3	0
284600	109	2	2	133	2	1
100130417	45	19	13	7	17	29
107985728	23	2	1	2	3	29
148398	181	174	281	269	146	236
26155	1021	441	1292	1604	922	1310
339451	211	175	245	311	208	145
84069	765	354	1110	125	400	197
84808	201	206	255	44	83	32
57801	479	375	311	381	204	373
9636	251	191	368	861	559	7655
375790	1441	741	1297	2872	1672	7164
100288175	74	167	91	10	36	18
112267874	94	174	114	8	49	15
105378948	224	351	309	12	143	23
401934	307	563	271	21	122	110
54991	225	146	354	253	183	192
254099	2	2	4	4	0	0
406984	11	1	16	6	0	0
406983	3	0	25	7	11	1
554210	12	3	43	25	20	8
100506376	1	3	0	0	0	2
254173	9	5	22	19	3	11
8784	31	14	67	582	187	195
7293	40	20	39	226	124	176
51150	1623	640	1331	2155	1354	2560
126792	266	69	223	573	226	463
388581	14	13	48	66	38	11
118424	812	592	1020	1085	700	799
101928895	32	3	7	12	21	10
6339	118	48	126	52	81	113
116983	1361	583	1867	1314	1058	997
102465434	1	0	1	1	0	0
109623456	10	0	7	6	5	2
126789	222	338	324	229	203	187
54973	1282	622	1264	1395	1071	960
102465435	9	2	13	9	4	5
80772	588	858	889	462	543	446
83756	72	87	70	83	47	17
1855	1478	749	1753	1148	985	1698
102466740	6	1	4	1	1	1
54587	903	230	534	249	436	1890
54998	1101	964	1193	1325	961	1023
81669	4234	1959	5697	4011	3788	2216
148413	328	264	347	399	335	364
55052	729	786	871	853	895	844
107984868	16	10	13	13	24	13
441869	207	213	348	324	340	188
105378585	28	18	40	61	23	19
643965	10	1	10	4	6	1
102724312	43	42	63	13	36	37
107985729	20	4	7	5	22	17
64856	1502	558	1258	1264	1265	2757
219293	47	15	49	63	45	29
83858	547	211	931	945	569	651
55210	358	153	490	702	344	680
339453	34	4	13	17	12	22
29101	1466	1917	1396	1848	1557	1405
643988	167	142	202	333	117	281
105378586	11	6	6	18	10	36
142678	1324	677	1272	1040	885	908
8510	137	49	54	86	65	92
984	874	299	712	1060	685	705
728661	1424	734	2044	1427	1735	947
8511	57	21	24	26	31	49
728642	645	231	772	789	531	671
9906	643	412	628	604	636	316
112268218	63	91	133	113	115	118
65220	659	302	608	1383	875	1285
2782	2816	1212	1188	3417	2471	6507
105378949	5	6	3	8	9	6
163688	10	7	28	12	27	7
339456	15	3	16	41	22	5
85452	7	1	3	6	1	0
107984872	1	0	2	1	2	1
105378589	8	3	10	2	2	6
2563	9	11	9	24	10	18
105378590	0	0	0	0	2	0
105378591	0	0	0	0	0	0
5590	461	284	501	395	366	413
100506504	32	8	51	26	32	20
199990	545	427	569	600	502	589
112268219	69	35	48	82	56	67
105378593	3	1	2	2	0	1
6497	1202	265	778	1014	1045	1760
79906	114	25	114	52	72	57
100129534	39	24	52	22	40	14
11079	2177	2358	2082	1599	1742	1771
5192	382	260	391	555	326	413
9651	642	301	1476	960	649	776
55229	333	107	298	427	355	371
388585	8	18	10	3	14	8
115110	130	39	136	119	218	101
8764	915	381	1056	892	1011	623
100996583	11	3	4	15	19	1
127281	316	248	295	515	278	460
79258	116	168	119	133	70	61
105378597	1	0	2	3	0	0
100287898	22	2	3	11	7	3
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	1	0	0
105378600	0	0	0	0	0	0
105378598	1	0	0	0	0	0
107984904	0	0	0	1	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	50	19	15	3	27	6
63976	110	12	24	34	51	35
100422968	0	0	0	0	0	0
105378606	0	0	0	0	0	0
107984909	0	1	0	0	0	0
105378605	0	0	0	0	0	0
105378604	1	0	0	3	0	14
27237	548	269	921	711	406	427
1953	997	331	1190	690	686	614
105378608	1	1	0	2	2	4
693135	0	0	0	0	0	0
105378607	0	0	0	0	0	0
127262	1720	1274	919	1227	1167	1527
49856	223	144	254	469	232	318
7161	126	86	133	410	228	461
105378610	4	0	1	13	0	0
105378609	0	0	0	0	0	0
57212	600	100	273	216	389	292
148870	5	0	0	0	0	6
388588	12	2	19	16	10	36
57470	938	403	622	926	649	936
9731	439	182	356	579	432	688
1677	100	31	80	107	119	71
107984910	6	2	6	11	7	4
339448	267	142	348	433	310	440
100133612	1	7	6	8	7	4
728716	0	0	0	0	0	0
105376672	6	7	2	0	1	7
105376673	0	0	0	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	57	1	8	20	26	523
105376680	0	3	1	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	1	0	0	0	0	0
261734	144	64	129	205	147	230
8514	284	22	228	713	464	479
26038	69	1	28	3	7	12
105376687	0	0	0	0	0	0
6146	8262	9168	8823	7869	7990	5556
107985733	61	50	90	27	70	56
102724450	10	8	15	4	11	9
388591	297	174	692	306	232	160
23463	1458	1314	1088	1652	1108	2319
148645	5	5	2	1	0	5
390992	0	0	0	0	0	0
387509	483	96	243	962	324	1973
11332	399	221	295	765	395	796
54626	594	412	808	360	475	513
83715	385	286	863	386	370	147
100422975	0	0	0	0	0	0
8718	388	269	639	594	334	327
57449	766	186	803	433	524	1185
79707	406	206	349	520	361	448
80835	0	0	1	7	5	0
107984912	0	0	0	2	1	0
3104	351	182	435	437	368	198
9903	1471	1129	1438	1349	1213	1961
107984913	11	7	8	5	7	12
148479	454	628	337	397	409	490
90326	418	220	476	477	358	405
55735	527	203	542	612	487	678
100505887	0	0	0	0	0	0
110841581	12	5	8	28	21	9
23261	536	467	473	575	409	498
105376692	0	0	0	0	0	0
102725193	0	0	0	0	0	0
101928836	0	0	1	0	1	0
105376691	0	0	0	0	0	0
105376689	32	12	16	40	34	12
9341	1673	1310	1220	1227	1250	2675
8863	368	187	404	662	319	382
10911	37	4	12	68	46	64
3604	35	3	12	199	118	114
11315	1581	974	1681	2596	1663	2739
54206	1749	586	678	1002	736	799
107984915	1	0	1	0	0	0
102724539	0	0	0	0	0	0
105376695	1	0	0	0	3	1
50651	54	4	19	14	22	42
473	2204	939	1370	1690	1687	1609
102724552	7	1	6	4	11	4
106632271	0	0	0	0	0	2
2023	11499	8062	13931	15506	9401	18274
102465436	0	1	5	2	2	1
100505975	4	8	1	9	4	4
112268261	0	0	0	0	0	0
765	2	4	1	5	0	0
155184	0	0	0	0	2	0
6518	163	100	65	507	201	104
80045	987	1140	836	694	710	306
106614088	192	176	276	200	236	68
407040	2	1	2	0	1	1
102724571	18	26	23	72	27	19
9563	1441	314	1019	1389	1306	1910
80176	768	268	358	660	400	994
100506022	21	1	12	5	12	32
84275	166	112	176	431	184	166
199953	201	43	204	380	154	253
107985734	14	5	31	47	12	10
105376712	0	3	1	4	2	1
5293	540	245	434	1075	718	1056
644997	0	0	0	1	1	2
101929074	10	8	2	13	18	20
22883	2411	1371	1516	3049	3036	5777
56998	1928	2911	1569	1052	1596	1174
105376717	274	497	216	90	246	130
84328	601	416	394	762	549	663
64802	187	128	110	156	157	262
113391335	0	0	0	3	1	0
100847055	0	0	0	0	0	0
116362	266	513	161	95	89	52
10277	1161	676	768	1097	895	1061
23095	1538	1204	917	899	893	1614
105376725	5	1	3	23	3	0
5226	8177	7687	7880	10608	4751	1556
100526739	49	44	68	144	75	87
378708	55	51	71	156	85	83
1325	8	15	3	26	7	13
1676	664	329	463	844	638	875
5195	662	143	316	342	319	336
54897	684	327	973	749	562	412
105376733	3	2	5	1	0	0
105376735	0	0	3	3	4	1
148345	3	1	3	2	5	4
23435	2393	1327	2227	3004	2242	2654
10747	109	34	82	57	81	24
6723	501	273	658	1078	516	918
5394	783	396	838	995	729	914
105376736	31	7	10	28	15	43
2475	1070	338	983	1189	907	1159
100873935	12	3	15	12	15	18
10218	69	10	21	2	51	42
29914	227	68	160	401	246	328
105376737	23	10	19	0	8	3
105376739	0	0	0	0	0	0
105376740	0	4	0	0	1	0
57540	3	1	0	14	3	1
112268221	0	0	0	2	0	0
101929181	0	0	0	0	0	0
26232	172	98	188	42	170	67
93611	351	97	401	319	344	225
26270	177	103	299	259	232	490
10459	189	46	150	415	193	478
374946	1	3	1	1	6	31
57085	296	259	512	677	437	1039
284498	121	25	138	149	137	124
102724659	0	0	0	0	0	0
4524	502	196	615	585	553	462
1185	409	117	294	379	333	347
100379251	59	7	51	76	47	58
4878	12	1	26	25	17	5
4879	1	0	0	0	0	1
26829	0	0	0	3	0	0
90231	893	534	641	1246	744	1470
5351	671	190	380	1086	531	2048
9927	2031	947	1778	2057	1784	3452
60672	199	59	268	334	232	369
102466982	1	0	1	2	1	0
943	18	2	10	68	45	72
102465836	7	0	1	7	2	34
7133	479	54	218	926	696	1553
100616438	0	0	0	4	0	1
107984917	2	0	1	0	2	0
55187	2167	842	1563	1221	1608	1640
677885	18	23	18	5	28	1
105376744	2	1	2	2	12	0
9249	1333	1938	2281	2364	1143	879
102466722	5	6	19	3	5	3
343066	1	4	1	0	0	0
126767	1	0	0	0	0	0
93190	0	0	0	1	0	0
390999	0	0	0	0	0	0
65121	0	0	0	0	0	0
105376745	0	0	0	0	0	0
440560	0	0	0	0	0	0
343069	0	0	0	0	0	0
65122	1	0	0	0	0	0
400735	0	0	0	0	0	0
343071	0	0	0	0	0	0
441871	0	0	0	0	0	0
440561	2	0	0	0	0	0
101929983	1	0	0	0	0	0
649330	0	0	0	0	0	0
441873	0	0	0	0	0	0
649324	0	0	0	0	0	0
440563	0	0	0	0	0	0
645354	0	0	0	0	0	0
645359	0	0	0	0	0	0
101060301	0	0	0	0	0	0
343070	2	0	0	0	0	0
400736	0	0	0	0	0	0
391003	2	0	0	0	0	0
343068	0	0	0	0	0	0
391002	0	0	0	0	0	0
645382	0	0	0	0	0	0
653619	0	0	0	0	0	0
729528	0	0	0	0	0	0
645414	0	0	0	0	0	0
391004	0	0	0	0	0	0
645425	0	0	0	0	0	0
126755	16	1	3	0	2	5
102724856	0	0	0	0	0	0
107984918	1	0	0	0	0	0
10630	207	90	172	239	336	2789
107984919	3	0	0	0	0	3
105378612	0	0	0	0	0	2
105376756	0	0	0	0	0	0
7799	1246	856	812	860	1095	1059
23254	1041	1100	1048	638	651	354
107985467	0	1	0	1	1	3
107985468	1	0	0	0	0	4
105376762	0	0	0	2	0	0
