GeneID	GSM802457	GSM802458	GSM802459	GSM802460	GSM802461	GSM802462	GSM802463	GSM802464	GSM802465	GSM802466	GSM802467	GSM802468
100287102	1	0	0	0	1	0	1	0	0	0	0	0
653635	20	18	9	18	23	24	23	7	16	8	17	16
102466751	0	0	0	0	0	1	0	0	0	0	0	0
107985730	0	0	0	0	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0
100996442	3	4	2	6	5	8	2	3	6	1	4	2
729737	5	7	2	9	14	9	6	1	3	1	4	3
102725121	0	0	0	0	0	0	0	0	0	0	0	0
102723897	21	21	9	19	21	27	27	10	17	10	20	17
102465909	0	0	0	0	0	1	0	0	0	0	0	0
107985721	0	0	0	0	0	0	0	0	0	0	0	0
112268260	0	1	2	1	1	2	1	4	9	0	6	5
729759	0	0	0	0	0	0	0	0	0	0	0	0
100132287	3	6	1	6	6	5	4	0	1	1	1	1
105378947	0	0	0	0	0	0	0	1	1	0	0	1
101928626	0	1	0	0	0	0	0	0	0	0	0	0
113219467	136	163	54	118	119	185	190	46	258	52	177	115
81399	0	0	0	0	0	1	0	0	0	0	1	0
100133331	3	5	1	6	8	7	5	1	2	2	2	2
107984841	3	2	0	1	2	1	1	1	1	1	1	1
107984847	1	2	0	2	1	1	0	0	0	1	0	0
107984849	0	0	0	0	0	1	0	0	0	0	0	0
100288069	1	3	1	6	5	4	3	1	2	1	1	2
105378580	23	4	7	5	4	12	6	1	3	2	1	3
400728	1	1	2	1	2	2	1	0	1	1	1	0
79854	3	2	3	2	3	6	3	2	2	0	1	2
643837	14	22	12	19	21	18	31	4	4	6	7	6
107984850	0	0	0	0	0	0	0	0	1	0	0	0
284593	0	1	1	0	0	0	0	0	0	0	0	1
284600	0	0	1	1	0	0	0	0	0	0	0	0
100130417	0	1	2	0	0	0	0	0	1	0	3	4
107985728	0	0	10	0	1	0	1	1	7	5	2	1
148398	4	4	40	6	12	4	21	3	7	6	9	5
26155	54	52	59	83	96	86	189	19	41	17	46	33
339451	7	12	8	11	12	5	2	5	13	3	6	12
84069	4	30	8	9	8	11	10	49	77	25	61	45
84808	0	5	4	0	0	2	2	6	14	3	13	5
57801	60	7	38	43	28	45	35	7	9	16	47	24
9636	261	78	63	128	88	182	531	8	31	10	46	17
375790	250	267	281	175	162	271	750	31	32	20	51	27
100288175	1	1	1	1	1	2	2	2	5	3	10	8
112267874	1	5	8	1	0	2	2	14	31	10	35	44
105378948	1	2	3	1	3	5	3	21	39	29	50	50
401934	6	12	17	4	5	7	9	32	104	29	147	160
54991	13	23	11	13	10	19	25	12	16	8	13	10
254099	0	0	0	0	0	1	0	0	0	0	0	0
406984	0	3	0	0	0	0	0	0	0	0	0	0
406983	0	0	1	0	0	0	0	0	1	0	0	0
554210	0	0	0	0	0	0	0	0	1	0	1	0
100506376	0	2	2	0	2	0	0	0	0	1	0	0
254173	1	2	0	3	6	0	0	1	0	1	1	0
8784	44	88	11	50	9	26	72	2	9	1	0	5
7293	6	17	3	7	3	5	5	0	0	0	0	0
51150	16	30	30	40	21	16	61	1	4	3	3	0
126792	33	44	59	28	21	22	19	5	12	6	10	7
388581	0	69	75	6	3	2	20	1	2	1	2	0
118424	98	157	128	114	132	134	140	57	105	42	95	76
101928895	2	5	0	0	0	0	0	0	0	0	0	0
6339	1	9	8	1	1	7	8	0	15	0	10	3
116983	25	84	41	28	76	51	77	24	38	30	50	41
102465434	0	0	0	0	0	0	0	0	0	0	1	0
109623456	0	0	0	0	1	0	0	1	0	1	0	0
126789	23	41	28	25	23	40	32	39	48	40	57	59
54973	107	152	107	83	97	119	212	40	103	57	129	95
102465435	0	0	0	1	0	0	1	0	0	0	0	0
80772	15	42	51	30	19	35	39	29	58	38	74	77
83756	2	1	32	3	4	25	2	16	34	9	36	53
1855	54	109	87	60	75	97	148	77	104	51	130	118
102466740	1	0	0	0	0	0	0	0	1	0	0	0
54587	53	248	218	115	113	66	137	16	23	15	17	28
54998	149	180	154	123	97	144	228	67	142	77	152	147
81669	77	167	94	159	128	109	124	26	64	30	79	40
148413	18	37	32	35	37	34	38	7	19	12	23	18
55052	124	143	104	142	131	157	195	43	141	80	98	87
107984868	2	3	4	0	1	4	0	0	0	0	2	1
441869	30	19	32	25	22	61	9	9	38	8	17	15
105378585	9	5	1	4	7	5	0	2	1	1	3	2
643965	0	1	8	0	0	1	1	1	0	0	0	0
102724312	0	1	2	3	3	3	1	1	1	2	6	1
107985729	0	0	1	0	1	1	1	0	1	0	1	0
64856	68	69	74	79	67	58	82	34	68	28	87	50
219293	3	9	8	21	4	8	5	4	6	3	2	8
83858	27	27	29	17	27	29	39	11	14	3	10	5
55210	14	34	19	28	32	28	53	6	9	4	11	7
339453	0	0	2	3	0	0	3	0	0	1	0	0
29101	132	128	111	76	129	152	171	51	118	47	104	84
643988	23	87	35	17	53	29	36	13	23	29	16	14
105378586	2	2	2	1	0	1	2	1	2	4	1	0
142678	48	100	66	31	29	86	110	29	57	35	50	34
8510	4	11	9	4	5	5	12	0	1	1	1	0
984	4	11	12	13	11	3	18	1	2	2	4	2
728661	23	35	66	36	49	36	51	14	24	11	16	17
8511	3	8	6	4	3	4	10	0	1	0	1	0
728642	3	11	5	6	7	2	10	2	2	1	4	2
9906	14	22	33	14	30	25	42	9	9	5	11	14
112268218	0	2	1	1	2	1	2	1	1	1	0	0
65220	45	34	42	36	43	38	106	12	19	7	25	17
2782	858	1159	1027	984	895	915	1419	226	523	266	409	367
105378949	1	4	2	2	1	2	1	2	1	1	1	0
163688	0	1	0	0	0	0	0	0	0	0	0	0
339456	5	11	1	2	3	4	3	0	1	4	2	1
85452	0	0	0	0	0	0	1	0	0	0	0	0
107984872	0	0	0	0	0	0	2	0	0	0	0	0
105378589	0	0	2	0	1	0	2	0	1	0	0	0
2563	2	0	5	1	1	1	9	0	0	0	1	0
105378590	0	0	0	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	0	0	0	0	0	0	0	0
5590	32	53	35	41	39	53	68	23	50	31	60	63
100506504	1	2	1	2	0	1	0	3	1	0	1	0
199990	36	66	52	42	44	54	51	18	23	12	26	24
112268219	5	8	8	4	5	6	9	3	2	3	3	5
105378593	1	1	0	1	0	0	0	0	0	0	0	0
6497	57	134	80	79	115	56	95	17	24	15	19	15
79906	6	4	5	2	3	7	13	3	9	3	1	3
100129534	1	4	1	4	2	0	3	0	3	0	1	0
11079	151	198	163	152	143	176	251	125	322	146	234	226
5192	79	64	49	47	42	79	91	17	36	32	52	51
9651	10	9	29	11	8	34	19	6	13	6	12	5
55229	37	41	24	38	31	54	60	6	20	14	19	16
388585	1	6	2	2	5	43	17	3	5	5	2	5
115110	6	9	4	4	3	3	20	4	5	5	1	1
8764	38	25	39	45	17	15	77	21	31	20	22	18
100996583	0	1	1	0	0	0	0	0	0	0	1	0
127281	26	46	21	17	26	44	103	15	15	14	14	18
79258	1	4	2	4	5	2	7	15	23	16	8	20
105378597	0	0	0	0	0	0	0	0	0	0	0	0
100287898	0	2	1	0	0	1	1	0	0	0	1	0
105378603	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0	0	0	0
105378598	1	1	0	0	0	0	1	0	0	0	1	2
107984904	0	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	0	0	0	0	0	0
440556	1	0	0	0	0	0	2	0	0	0	0	0
63976	13	2	1	0	0	1	0	0	0	0	0	1
100422968	0	0	0	0	0	0	0	0	0	0	0	0
105378606	0	0	0	0	0	0	0	0	0	0	0	0
107984909	0	0	0	0	0	0	0	0	0	0	0	1
105378605	0	0	0	0	0	0	1	0	0	0	0	0
105378604	0	0	2	1	1	2	0	0	0	1	0	0
27237	24	27	19	18	54	53	56	22	29	7	21	24
1953	43	175	55	30	91	101	63	7	22	11	21	14
105378608	0	1	1	2	0	0	1	0	0	0	0	0
693135	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0	0	0	0	0
127262	188	331	262	167	138	351	337	165	429	222	338	343
49856	65	49	54	53	29	57	86	15	35	15	28	15
7161	14	19	25	23	17	13	41	7	10	5	9	5
105378610	0	0	0	0	1	0	0	0	0	0	0	0
105378609	0	0	0	0	0	0	0	0	0	0	0	0
57212	8	17	15	24	7	25	20	7	7	2	4	1
148870	0	0	1	0	0	0	1	0	0	0	0	0
388588	2	4	5	0	4	0	0	0	3	2	1	0
57470	42	54	47	53	62	67	109	26	58	32	27	35
9731	32	56	60	55	40	39	97	14	11	7	14	3
1677	5	7	6	2	5	4	11	2	0	1	1	2
107984910	0	0	0	1	0	0	0	0	0	0	0	0
