Cluster,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
esophagus,Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,15/988,63/9378,0.238095238095238,2.25997686524002,3.44326831328353,0.00186242692598751,0.0445667616316022,0.0391168515335943,3248/5742/1573/2053/1557/247/1559/1571/239/246/2687/5743/5319/123745/391013,15
esophagus,Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,17/988,76/9378,0.223684210526316,2.1231887918176,3.37365632980279,0.00198368375214847,0.0445667616316022,0.0391168515335943,51/34/8310/30/28965/4312/9415/2172/8309/10580/33/4973/6258/4023/729359/364/3158,17
kidney,Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,67/1450,160/9378,0.41875,2.70830172413793,9.32052459965854,5.59689936071922e-16,1.91413958136597e-13,1.44341088776443e-13,1462/257194/3117/23114/3127/3118/6693/3119/3134/5788/3689/3122/3120/3113/3112/3115/80381/10686/3684/6404/100506658/942/3109/923/5010/914/3106/6403/6401/3683/3135/3676/925/5789/3123/3107/149461/3105/920/3111/22854/1272/9672/5133/120425/940/941/80380/8516/22871/152404/9073/926/6614/9071/958/84628/1493/23562/79679/29851/1002/57863/1001/3897/959/4099,67
kidney,Human Diseases,Immune disease,hsa05330,Allograft rejection,26/1450,39/9378,0.666666666666667,4.31172413793103,8.86278895261327,7.13144609987744e-13,1.21947728307904e-10,9.19581207615775e-11,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/958/355/356/959,26
kidney,Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,45/1450,103/9378,0.436893203883495,2.82564445932374,7.96731512886189,6.24641447827405e-12,7.12091250523242e-10,5.36972472693735e-10,1290/6550/340267/1295/7512/476/23428/1277/1285/340024/3784/3783/482/153201/1282/1278/1292/1306/11136/477/6546/4311/1289/1293/1281/8645/91522/1284/1296/1288/136227/1287/1286/1298/50509/1310/9056/117247/1359/6564/81578/1301/59272/478/3769,45
kidney,Human Diseases,Endocrine and metabolic disease,hsa04940,Type I diabetes mellitus,26/1450,44/9378,0.590909090909091,3.82175548589342,8.0231692978567,4.09912772167865e-11,3.42945159192661e-09,2.58607460763934e-09,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/355/5798/356/1363,26
kidney,Cellular Processes,Transport and catabolism,hsa04145,Phagosome,57/1450,155/9378,0.367741935483871,2.37840266963293,7.40014089760546,5.01381811685177e-11,3.42945159192661e-09,2.58607460763934e-09,3117/78989/3127/3118/3119/2212/2214/10376/3134/4842/6890/3689/3122/11151/3120/3113/1536/64581/3112/3115/4688/3684/10333/22925/3109/7097/2209/3106/338382/3135/4481/1520/9103/3123/3107/3105/653361/79861/347733/949/718/3111/525/2213/7280/3678/10381/929/245972/2215/4689/113457/50617/4353/948/127124/10382,57
kidney,Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,42/1450,100/9378,0.42,2.71638620689655,7.3794156022318,1.46625306957481e-10,8.3576424965764e-09,6.3023158253654e-09,3117/3127/3118/3119/1438/3122/3581/3120/3113/3112/3115/1378/3684/921/3109/914/2209/960/3676/925/951/945/952/3123/1436/4311/915/916/920/3111/1441/3559/3575/926/3678/917/929/924/290/912/948/1380,42
kidney,Human Diseases,Immune disease,hsa05332,Graft-versus-host disease,25/1450,45/9378,0.555555555555556,3.59310344827586,7.45675038052258,6.06120145509652e-10,2.96132985377573e-08,2.23307422029872e-08,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/3824/355/356,25
kidney,Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,87/1450,298/9378,0.291946308724832,1.88818791946309,6.66352771000949,7.46213843109676e-10,3.19006417929386e-08,2.40555778370882e-08,3624/60401/151449/414062/6387/5008/7852/53833/9560/1438/50615/939/944/3581/3594/84957/3625/2833/1234/9173/10148/55540/6356/3560/3556/3604/6351/6352/7293/132014/8771/3603/10673/3598/1524/1436/3627/7040/3561/3587/6366/920/6358/4283/6348/1441/970/3559/58191/8740/6367/3575/2690/653/10913/1439/6373/8744/958/10663/6362/1233/9180/1271/355/5618/6364/7133/655/284340/1236/658/2829/392255/57007/3952/729230/8784/356/268/6359/130399/6846/6363/6368/9547/959,87
kidney,Human Diseases,Immune disease,hsa05320,Autoimmune thyroid disease,27/1450,54/9378,0.5,3.23379310344828,7.04000279631166,2.83571843378649e-09,1.07757300483887e-07,8.12574288044082e-08,3117/3127/3118/3119/3134/3122/3120/3113/3112/3115/942/3109/3106/3135/3002/3123/5551/3107/3105/3111/940/941/958/355/1493/356/959,27
kidney,Human Diseases,Cardiovascular disease,hsa05416,Viral myocarditis,31/1450,70/9378,0.442857142857143,2.86421674876847,6.69501225931973,8.17919275627576e-09,2.79728392264631e-07,2.10937076346059e-07,3117/3127/3118/3119/3134/4842/5880/3689/3122/595/3120/3113/3112/3115/942/3109/3106/3683/3135/3123/5551/3107/3105/3111/940/941/8082/958/857/4624/959,31
kidney,Organismal Systems,Immune system,hsa04672,Intestinal immune network for IgA production,25/1450,50/9378,0.5,3.23379310344828,6.77279323941699,1.09868451757131e-08,3.41591004553989e-07,2.57586322301407e-07,57379/6387/3117/7852/3127/3118/3119/3122/3120/3113/3112/3115/942/3109/5284/3676/10673/3123/7040/3111/940/941/958/29851/959,25
kidney,Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,37/1450,100/9378,0.37,2.39300689655172,5.98908146961697,1.03046811494899e-07,2.93683412760461e-06,2.21460252774124e-06,414062/6387/7852/53833/9560/2833/1234/6356/3560/6351/6352/1524/1436/3627/3561/3587/6366/6358/4283/6348/3559/8740/6367/6373/6362/1233/6364/7133/1236/2829/57007/729230/6359/6846/6363/6368/9547,37
kidney,Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,49/1450,154/9378,0.318181818181818,2.05786833855799,5.66065218511975,2.39060124131668e-07,6.28912018869466e-06,4.74248829249059e-06,5156/341640/5880/3689/595/3910/3687/5228/4233/3684/1277/1285/7450/1950/83660/64098/3683/3676/1282/1278/2335/1292/255743/1293/7040/3909/83706/894/718/1101/22798/1284/55679/7422/1288/8516/158326/1287/1286/80310/3678/1298/1956/2321/3681/5649/7448/3694/55612,49
kidney,Metabolism,Global and overview maps,hsa01200,Carbon metabolism,40/1450,116/9378,0.344827586206897,2.23020214030916,5.70147498145232,2.88186977867281e-07,7.03999617361502e-06,5.30870748702887e-06,1892/5315/4329/229/3099/2203/2026/2597/226/275/55902/6472/8801/847/38/2731/26275/6470/48/26007/8802/5091/5214/51179/414328/132158/9104/189/10993/5095/3101/55753/84706/26227/5313/2875/64902/230/29968/2645,40
kidney,Metabolism,Amino acid metabolism,hsa00260,"Glycine, serine and threonine metabolism",20/1450,41/9378,0.487804878048781,3.15492010092515,5.91362198224497,5.46253769553536e-07,1.24545859458206e-05,9.39173147653448e-06,51268/2628/275/23464/6472/2731/1491/1610/6470/55349/1757/132158/635/189/10993/26227/4128/29958/64902/29968,20
kidney,Human Diseases,Infectious disease: bacterial,hsa05150,Staphylococcus aureus infection,35/1450,99/9378,0.353535353535354,2.28652037617555,5.50323194421488,8.06187206655336e-07,1.58645001180598e-05,1.1963073342335e-05,3117/3127/3118/3119/2212/2214/3689/3122/3120/3113/3112/3115/719/3684/5724/6404/3109/2359/2209/6403/3683/9103/3123/718/3111/713/5340/712/2213/714/2357/2215/716/1672/717,35
kidney,Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,34/1450,95/9378,0.357894736842105,2.31471506352087,5.50786649355732,8.33330232858099e-07,1.58645001180598e-05,1.1963073342335e-05,414062/6387/3117/3127/3118/3119/7010/3689/3122/3120/3113/3112/3115/942/3109/7097/3683/6352/10673/3123/7040/3111/6348/525/940/941/7422/2321/6364/245972/1493/2353/50617/127124,34
kidney,Human Diseases,Immune disease,hsa05310,Asthma,17/1450,32/9378,0.53125,3.43590517241379,5.90278026746924,8.34973690424198e-07,1.58645001180598e-05,1.1963073342335e-05,3117/3127/3118/3119/3122/3120/3113/3112/3115/3109/2207/6356/3123/3111/958/2206/959,17
kidney,Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,20/1450,42/9378,0.476190476190476,3.07980295566502,5.77697586457632,8.92193218243175e-07,1.60594779283771e-05,1.21101018542702e-05,1892/3033/11185/316/847/38/125061/1644/217/219/259307/3620/15/64577/2639/4128/1962/130013/26/6999,20
kidney,Organismal Systems,Digestive system,hsa04978,Mineral absorption,25/1450,61/9378,0.409836065573771,2.65065008479367,5.53115751883784,1.35435506186575e-06,2.31594715579044e-05,1.74640521135321e-05,140803/4495/4494/6550/55630/6569/4493/4496/476/340024/482/7421/4499/477/6546/4501/55503/142680/65010/491/1811/4502/115019/4489/478,25
kidney,Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,30/1450,82/9378,0.365853658536585,2.36619007569386,5.31378689311699,2.15813954224941e-06,3.38379837107214e-05,2.55164851004209e-05,3306/3117/3127/3118/3119/3134/6890/3122/3120/3113/3112/3115/3109/6892/3106/3135/925/1520/3123/972/3107/3105/567/920/3111/10437/926/3310/3824/3805,30
kidney,Human Diseases,Infectious disease: parasitic,hsa05140,Leishmaniasis,29/1450,78/9378,0.371794871794872,2.40461538461538,5.32718018326488,2.17671240244407e-06,3.38379837107214e-05,2.55164851004209e-05,3117/3127/3118/3119/2212/2214/3689/3122/3120/3113/1536/3112/3115/1378/4688/3684/3109/7097/2209/3676/9103/3123/7040/653361/718/3111/2215/4689/2353,29
kidney,Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,18/1450,38/9378,0.473684210526316,3.06359346642468,5.45100578274906,3.46391371870791e-06,5.15068909477438e-05,3.88402224752146e-05,57379/5788/6890/695/925/3561/915/7535/916/920/3575/3718/926/958/3932/29851/100/959,18
kidney,Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,32/1450,93/9378,0.344086021505376,2.22540600667408,5.07884154468365,4.61424326214602e-06,6.57529664855808e-05,4.95828771590252e-05,5602/3117/3127/3118/3119/3122/3120/3113/3594/3112/3115/864/3109/3560/3123/2625/3561/919/915/7535/916/920/3111/3714/3559/3718/54567/30009/3932/917/6775/2353,32
kidney,Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,13/1450,23/9378,0.565217391304348,3.65559220389805,5.45302571213264,6.82351352308822e-06,9.33456649958468e-05,7.03899289750153e-05,762/5105/6550/476/358/482/5106/477/1468/8671/10991/760/478,13
kidney,Organismal Systems,Immune system,hsa04659,Th17 cell differentiation,35/1450,109/9378,0.321100917431193,2.07674786459981,4.83553983585335,9.83068610042219e-06,0.000129311332551707,9.75108540325278e-05,5602/861/3117/3127/3118/3119/50615/3122/50943/3120/3113/3594/3112/3115/3109/10148/3560/3556/3123/2625/7040/3561/919/915/7535/916/920/3111/3559/3718/30009/3932/917/2353/3662,35
kidney,Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,88/1450,370/9378,0.237837837837838,1.5382367194781,4.51745811391497,1.28371905673051e-05,0.000162604413852531,0.00012261644011656,2906/4886/114131/5745/152/1132/4889/10911/53637/1241/719/5724/7068/2359/2563/84634/64106/624/140/53829/5731/2899/4923/3827/5027/718/2892/2918/5340/3269/2901/554/66004/4828/2690/3355/5028/3001/5020/7349/7434/5367/27334/623/3274/6752/185/286530/8698/1137/5618/2564/2642/2357/4987/133/6751/552/55879/8862/84109/2568/3352/6344/3952/130574/2911/4543/130576/9127/2555/153/5733/2561/5368/57105/2894/23566/6869/2914/5737/2925/2903/2847/2898/553/170589/148,88
kidney,Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,65/1450,254/9378,0.255905511811024,1.65509095845778,4.52647330808819,1.58890345672457e-05,0.000194073207928501,0.000146346371014105,2906/5156/4916/113/7852/2769/5332/7134/57118/4842/2246/91807/4233/5724/2252/1950/6263/56848/624/952/5330/6546/4915/5731/4923/5027/2261/5979/3269/5136/4914/7422/2066/80310/623/108/3274/185/255231/1956/491/2321/815/552/5256/7039/2255/55283/2911/2254/9127/153/816/5733/2668/57105/774/89869/6869/5737/2925/2903/8911/553/148,65
kidney,Metabolism,Carbohydrate metabolism,hsa00630,Glyoxylate and dicarboxylate metabolism,15/1450,31/9378,0.483870967741936,3.12947719688543,5.07869179210046,1.65052346553276e-05,0.000194647939728346,0.000146779763722514,112817/275/55902/6472/847/38/125061/2731/6470/48/51179/132158/189/5095/64902,15
kidney,Organismal Systems,Digestive system,hsa04976,Bile secretion,30/1450,90/9378,0.333333333333333,2.15586206896552,4.71194596859082,1.85301302001569e-05,0.000211243484281789,0.000159294101720647,6513/113/6550/10864/123264/476/358/9376/482/477/949/8671/5243/6580/108/1576/7364/7367/3949/6344/8714/10720/361/760/366/54600/200931/6555/7366/478,30
kidney,Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,60/1450,233/9378,0.257510729613734,1.66547284297765,4.39896575607698,2.73511200105193e-05,0.0003017446143096,0.000227539028949991,1462/1634/4001/287/1290/2192/4634/7134/26287/2026/58529/476/288/1277/752/1285/83660/482/3676/1674/1282/1278/9172/2335/1292/56776/7135/477/6712/4628/1289/1293/1281/7139/9672/7431/1284/1288/8516/84467/1287/8082/1286/3678/79784/1298/50509/825/10529/127294/8735/4629/3694/4619/84676/4622/4620/1301/4624/478,60
kidney,Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,24/1450,67/9378,0.358208955223881,2.31674729799279,4.62568241613756,3.31455444777676e-05,0.000354243006606141,0.000267126920955693,125/126/5315/5105/229/3099/2203/130/2026/2597/226/55902/5106/2538/3939/130589/217/5214/219/3101/5313/124/230/2645,24
kidney,Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,26/1450,76/9378,0.342105263157895,2.21259528130672,4.53908839993783,3.96969319488136e-05,0.000411404567469523,0.000310231206617522,34/5105/364/2168/30/6319/5465/8309/79966/5106/2710/11001/23305/2173/729359/440503/2172/335/3158/1582/1962/4023/2171/51129/81616/948,26
kidney,Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,29/1450,89/9378,0.325842696629214,2.10741573033708,4.48905936220036,4.1065630728806e-05,0.000413071932625048,0.000311488530295897,341640/3910/1277/1285/7450/960/3676/1282/1278/2335/1292/255743/1293/3909/1101/22798/1284/1288/8516/3161/158326/1287/1286/3678/1298/5649/7448/3694/948,29
kidney,Metabolism,Amino acid metabolism,hsa00280,"Valine, leucine and isoleucine degradation",19/1450,48/9378,0.395833333333333,2.56008620689655,4.63406938772322,4.46296460317114e-05,0.000436095398367008,0.000328850023391558,1892/34/586/3033/4329/18/30/36/54511/316/38/26275/217/219/259307/5095/3158/1962/64902,19
kidney,Metabolism,Amino acid metabolism,hsa00330,Arginine and proline metabolism,19/1450,50/9378,0.38,2.45768275862069,4.41965010884882,8.62730822016596e-05,0.00080902038873874,0.000610064620624781,8659/112483/5033/4842/2628/79814/112817/1610/217/219/58510/5831/84735/4128/283208/1159/1152/26/548596,19
kidney,Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,28/1450,88/9378,0.318181818181818,2.05786833855799,4.26382367389601,8.90328526184363e-05,0.00080902038873874,0.000610064620624781,730/5327/3689/1378/719/3687/3684/5104/5624/7450/624/2160/3827/718/713/5340/712/714/623/3818/716/11326/5329/7448/2161/717/5054/1380,28
kidney,Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,25/1450,75/9378,0.333333333333333,2.15586206896552,4.29792934448302,9.02841756741069e-05,0.00080902038873874,0.000610064620624781,95/100526760/5315/586/229/2026/2597/226/6472/1491/445/5053/6470/48/5091/5214/5831/10993/162417/84706/26227/5313/2875/230/29968,25
kidney,Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,71/1450,299/9378,0.237458193979933,1.53578134009918,4.02659832610578,9.2256710996523e-05,0.00080902038873874,0.000610064620624781,3786/4916/5602/287/23114/8832/10376/3689/91807/219699/8497/3687/3684/3635/288/942/914/57823/3556/8828/3683/3676/10225/7827/4868/7409/79827/114836/5789/6712/4628/79861/3937/347733/10095/962/1272/9863/120425/940/941/22871/7280/199731/3678/79784/84063/137970/4068/91584/3932/10381/4063/9046/51744/56924/113457/9353/106821730/4629/90249/3739/6092/57863/5803/56253/81607/3897/9423/10382/4099,71
kidney,Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,17/1450,43/9378,0.395348837209302,2.55695268644747,4.3760937782623,0.000113732793816137,0.00097241538712797,0.000733277223288251,125/126/1892/34/3033/130/10455/30/36/38/217/219/23305/2639/1962/124/81616,17
kidney,Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,18/1450,47/9378,0.382978723404255,2.47694790902421,4.34094367660856,0.000117154385786419,0.000977239022901348,0.000736914621763097,125/126/5315/5105/130/3029/55902/38/5106/134526/197257/3939/217/5091/219/32/5313/124,18
kidney,Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,47/1450,181/9378,0.259668508287293,1.6794284625643,3.94724486943867,0.000159238247670088,0.00129665430245643,0.000977778713763696,5602/3117/3127/3118/3119/2212/2214/3689/3122/11151/3120/3113/64581/3112/3115/1378/3687/3684/10333/64127/22925/3109/7097/2207/2209/56848/64170/7421/1520/9103/1594/3123/972/7040/3587/718/3111/4046/2213/1051/26253/929/245972/2215/815/816/50617,47
kidney,Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,49/1450,193/9378,0.253886010362694,1.64202965874576,3.85414725302237,0.000210076168712544,0.00167083836510907,0.00125994274992836,414062/113/6387/7852/9560/5332/5880/1794/2833/5294/1234/6356/6351/94235/6352/7409/146850/1524/5330/23533/3627/653361/6366/7454/409/6358/3702/3055/4283/6348/58191/6367/3718/9844/57580/6373/108/10663/6362/1233/6364/1236/2829/729230/6359/6846/6363/6368/9547,49
kidney,Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,55/1450,224/9378,0.245535714285714,1.58802339901478,3.80931863847764,0.000226118208511109,0.00175755516615453,0.00132533399725411,5602/6513/4085/9232/1869/113/991/701/3117/3127/3118/3119/11200/9133/890/3134/1029/3689/3122/595/3120/3113/3112/3115/3109/4487/83660/1031/3560/3106/3683/3135/6688/3123/3107/3105/7040/3561/915/567/894/916/920/3111/3559/3718/108/958/3932/4609/1870/917/1030/1958/2353,55
kidney,Human Diseases,Immune disease,hsa05321,Inflammatory bowel disease,22/1450,66/9378,0.333333333333333,2.15586206896552,4.02986627113662,0.000234689113051357,0.00178363725919031,0.00134500193444637,3117/3127/3118/3119/50615/3122/50943/3120/3113/3594/3112/3115/64127/3109/7097/3123/2625/7040/3561/3111/30009/6775,22
kidney,Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,51/1450,205/9378,0.248780487804878,1.60900925147183,3.77032911889016,0.000268876793561429,0.00199904050865236,0.00150743282431465,5602/9641/1869/3117/3127/3118/3119/890/3134/6890/3122/595/3120/3113/695/3112/3115/864/1643/3109/7097/8819/377841/6892/3106/960/3683/3135/3123/3107/3105/3627/919/915/567/894/916/3111/7431/7128/3718/4939/4940/958/4609/355/1870/917/9636/1380/956,51
kidney,Metabolism,Carbohydrate metabolism,hsa00650,Butanoate metabolism,12/1450,27/9378,0.444444444444444,2.87448275862069,4.17127134604972,0.000320810955293561,0.00233441163213612,0.00176032887003186,1892/3033/18/54511/38/79944/6296/622/3158/1962/348158/123876,12
kidney,Metabolism,Metabolism of cofactors and vitamins,hsa00830,Retinol metabolism,22/1450,68/9378,0.323529411764706,2.09245436105477,3.86649147489705,0.000378727113317438,0.00269843068238675,0.00203482769216606,125/126/56603/130/317749/8854/10901/316/1576/1562/7364/7367/1555/124/1551/100861540/10720/145226/54600/10170/7366/1559,22
kidney,Metabolism,Metabolism of cofactors and vitamins,hsa00770,Pantothenate and CoA biosynthesis,10/1450,21/9378,0.476190476190476,3.07980295566502,4.08035230114613,0.00051850561633043,0.00361895756704096,0.0027289769280549,5167/586/53354/217/219/8875/5169/1807/8876/51733,10
kidney,Human Diseases,Infectious disease: parasitic,hsa05145,Toxoplasmosis,31/1450,112/9378,0.276785714285714,1.7901354679803,3.59748141365897,0.000631834145876007,0.00432174555779188,0.00325893401557098,5602/3117/3127/3118/3119/3122/3120/3113/3910/3112/3115/5294/3109/1234/7097/240/146850/3123/23533/7040/3909/3587/3111/22798/79444/3310/958/330/23643/3949/959,31
kidney,Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,79/1450,362/9378,0.218232044198895,1.41143455896361,3.41414718793763,0.000674480935656677,0.00452298980381536,0.0034106879099254,5156/5105/5008/672/7010/1944/2246/595/3910/57121/5228/54541/4233/2252/1277/5294/1285/7450/7097/1950/3560/94235/5106/3676/1282/1278/2335/1292/2538/146850/1436/23533/4915/1293/3909/3561/894/5521/285/1101/10110/2261/22798/1441/5979/3559/9863/1284/3575/2690/4914/4515/7422/1288/3718/8516/2066/1287/3164/1978/1286/80310/3678/1298/4609/9180/5618/1956/2321/7039/2255/5649/2254/7448/3694/356/3481/2668/23566,79
kidney,Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,16/1450,45/9378,0.355555555555556,2.29958620689655,3.73710117474914,0.000732984699676221,0.00482078398633207,0.00363524800446709,4363/10350/10351/6890/26154/23460/10349/9619/24/5243/19/6833/368/1672/8714/154664,16
kidney,Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,23/1450,76/9378,0.302631578947368,1.95729582577132,3.58343005704674,0.000815637557131204,0.00526317065167682,0.00396884213499791,113/5332/91807/3766/476/3784/482/3758/5330/477/389015/3772/3759/54207/108/3274/6752/115111/3773/815/816/760/478,23
kidney,Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,22/1450,73/9378,0.301369863013699,1.9491355692017,3.48149382127984,0.00111650055558992,0.0070711701854028,0.00533221512903566,2949/125/126/2330/130/119391/316/2947/2329/1576/4128/7364/7367/1555/124/2326/10720/54600/2938/7366/2939/1559,22
kidney,Metabolism,Metabolism of cofactors and vitamins,hsa00670,One carbon pool by folate,14/1450,39/9378,0.358974358974359,2.3216976127321,3.53710831969703,0.00139505366079629,0.00867469730895145,0.00654139994057589,25902/275/6472/2731/1491/6470/55349/160428/1757/10840/635/10841/23743/29958,14
kidney,Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,13/1450,35/9378,0.371428571428571,2.40224630541872,3.55426079028363,0.001431128575862,0.00874010665972866,0.00659072370462765,229/3099/6652/2203/226/5207/5210/26007/5214/3101/3795/5208/230,13
kidney,Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,36/1450,143/9378,0.251748251748252,1.62820352061731,3.23730839293857,0.00162440751909087,0.00974644511454523,0.00734958157298732,730/3117/3127/3118/3119/2212/2214/3122/3120/3113/3112/3115/942/3109/2209/3123/718/3111/713/712/940/941/714/958/8362/92815/85236/2215/716/8341/717/8357/2903/8294/959/8368,36
kidney,Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",29/1450,115/9378,0.252173913043478,1.63095652173913,2.91143206127621,0.00428551542046211,0.0252697633413455,0.0190553770964286,4323/27347/5745/113/860/5332/6569/65266/6559/4325/56302/7421/1594/5330/2625/5744/50964/846/409/9365/4929/65267/108/142680/1956/1591/1958/65268/2353,29
kidney,Cellular Processes,Cell growth and death,hsa04110,Cell cycle,37/1450,158/9378,0.234177215189873,1.51456132693147,2.78955137380526,0.00530617936611649,0.0307578532747769,0.0231938259535868,4171/9088/7272/891/113130/4085/9232/1869/983/10403/81620/991/4174/699/701/23594/990/11200/9133/890/1029/9212/5347/8317/595/1028/9319/1031/90381/8318/7040/894/995/4609/1870/1030/157570,37
kidney,Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,18/1450,63/9378,0.285714285714286,1.84788177339901,2.88767480059652,0.00571911349627471,0.0325989469287658,0.0245821545015316,6916/5730/2053/240/54979/22949/3248/4051/8529/1573/1555/255189/59344/5320/247/26279/1559/84647,18
kidney,Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,12/1450,36/9378,0.333333333333333,2.15586206896552,2.97147081678052,0.00602138391437442,0.0337592344051811,0.0254571019675881,5167/3099/5836/283209/2538/11181/8908/3101/5169/57733/2645/8972,12
kidney,Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,11/1450,32/9378,0.34375,2.22323275862069,2.96418525313661,0.00649474076705882,0.0358258281021631,0.0270154751770698,1892/4329/18/55902/8801/26275/3939/8802/5095/32/1962,11
kidney,Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,45/1450,203/9378,0.221674876847291,1.43370137591303,2.67159068670113,0.00671186230711616,0.0364358239529163,0.0274754597367328,5156/5602/8395/5880/595/91807/3910/5228/4233/1277/1285/7450/1950/83660/858/64098/3676/1282/1278/7409/2335/1292/1293/3909/894/1101/22798/1284/7422/1288/8516/1287/1286/80310/3678/1298/1956/2321/330/56924/106821730/5649/7448/3694/857,45
kidney,Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,15/1450,50/9378,0.3,1.94027586206897,2.85088802180337,0.00688074917880729,0.0367690034242515,0.0277267031053912,3689/1378/4233/7097/6403/6401/3683/22914/100528032/7040/958/4035/3043/948/959,15
kidney,Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,12/1450,37/9378,0.324324324324324,2.09759552656104,2.86075484871321,0.00768392968068134,0.0404292915506618,0.030486846506347,125/126/3242/130/316/1644/259307/4128/1621/124/7306/3081,12
kidney,Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,12/1450,38/9378,0.315789473684211,2.04239564428312,2.75350003639252,0.00968563708341193,0.049284871974172,0.0371646464563624,6338/4306/476/3291/482/3758/6340/477/53828/6337/23327/478,12
kidney,Genetic Information Processing,Information processing in viruses,hsa03273,Virion - Lassa virus and SFTS virus,7/1450,17/9378,0.411764705882353,2.66312373225152,2.9350941532431,0.00971889859173629,0.049284871974172,0.0371646464563624,64881/8828/4628/5101/79784/4629/83259,7
kidney,Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,19/1450,71/9378,0.267605633802817,1.73076250607091,2.64322852392781,0.00979933126971841,0.049284871974172,0.0371646464563624,5156/4916/6513/5315/3099/5163/4233/3939/9123/5214/9997/2261/5979/4914/3101/4609/1956/6514/2645,19
liver,Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,4/11,254/9378,0.015748031496063,13.4259126700072,6.87987515650064,0.000149272731405983,0.00537381833061539,0.004242488155749,89869/4803/9965/8912,4
liver,Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,2/11,65/9378,0.0307692307692308,26.2321678321678,6.99510893281344,0.00249900845896187,0.0449821522613136,0.0355122254694581,3283/8912,2
pancreatic,Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,12/207,103/9378,0.116504854368932,5.2781764457577,6.55887160788546,2.55138339482759e-06,0.000625088931732759,0.000620389014952813,255631/1296/1289/1310/1307/1284/1278/1285/1281/1290/1277/1303,12
pancreatic,Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,17/207,233/9378,0.0729613733905579,3.30546743795484,5.35369816210514,1.48391974782514e-05,0.0018178016910858,0.00180413400919794,84665/255631/1289/1284/1278/1285/633/1281/1290/1277/7058/2335/8572/22801/9260/1311/7138,17
