GeneID	GSM4075467	GSM4075468	GSM4075469	GSM4075470	GSM4075471	GSM4075473	GSM4075474	GSM4075475	GSM4075476	GSM4075477	GSM4075478	GSM4075479	GSM4075480	GSM4075481	GSM4075482	GSM4075466	GSM4075472	GSM4075483
127281	2283	1615	2290	568	1118	2586	1665	1941	796	2140	539	2331	1532	1508	1193	2117	1177	863
79258	271	301	386	77	236	380	446	395	110	352	88	334	227	192	201	248	205	142
105378597	0	2	1	0	3	1	0	1	0	0	1	1	0	0	0	0	0	0
100287898	0	16	9	28	4	2	1	7	19	18	5	23	3	1	26	0	9	26
105378603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378602	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378601	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112268220	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0
107985732	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378600	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1
105378598	0	1	0	33	0	0	0	1	0	0	0	0	0	0	0	0	0	0
107984904	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0
105378599	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
140625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440556	7	15	20	74	8	4	2	1	56	17	37	0	13	32	32	0	52	16
63976	5	59	101	115	47	1	13	13	96	42	56	38	310	169	42	5	45	50
100422968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378606	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	1
107984909	0	2	0	1	0	3	0	1	2	0	5	0	1	4	0	0	0	1
105378605	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1
105378604	461	252	518	2	802	276	908	732	14	383	13	177	151	141	34	391	18	1120
27237	1323	1181	1065	717	1335	1232	1278	1617	1571	885	1639	2127	1800	1649	2501	1105	2340	852
1953	703	636	439	532	61	1752	95	174	295	2041	128	1255	2569	1856	249	682	145	1388
105378608	4	6	3	3	1	1	7	2	0	16	3	11	10	22	3	1	2	3
693135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
127262	1606	1434	1421	1813	1532	1796	1230	1202	1708	1185	1703	1701	1189	1504	3209	1287	2413	843
49856	575	365	498	247	529	567	694	525	264	362	254	407	737	889	382	581	272	340
7161	12	67	83	24	30	40	11	15	18	60	15	129	152	144	9	28	13	27
105378610	2	0	1	0	0	1	0	0	0	2	1	0	10	5	0	0	2	1
105378609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
57212	40	127	61	589	39	20	22	63	231	93	78	59	58	112	83	43	183	180
148870	0	0	0	10	0	4	0	0	0	0	0	0	0	0	0	0	1	2
388588	4	23	39	28	19	19	5	7	13	19	8	7	8	9	15	4	8	18
57470	1123	795	1032	1103	831	1266	1556	1735	683	817	468	892	1334	1316	716	999	683	716
9731	646	651	746	854	675	786	625	811	535	571	409	784	806	589	367	581	536	616
1677	267	155	223	95	248	344	476	382	129	153	62	142	301	325	98	250	74	197
107984910	5	5	3	3	6	2	1	6	2	6	5	3	11	4	2	7	5	6
339448	353	342	431	171	492	441	878	613	270	293	174	546	664	703	295	468	215	349
100133612	7	6	27	16	12	9	23	36	22	18	35	33	4	5	17	15	54	9
728716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
105376672	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
105376673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
284661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985376	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
55966	3	11	12	60	5	22	1	4	27	29	3	8	38	29	18	0	5	8
105376680	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100616421	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0
261734	151	240	299	176	210	266	144	285	206	221	89	250	252	288	97	132	148	238
8514	419	740	1054	358	138	947	198	449	298	786	216	253	429	524	109	582	272	575
26038	6	5	9	102	1	6	1	2	16	6	10	3	12	16	20	1	40	14
105376687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6146	7512	4344	5868	3429	7403	7056	8539	7615	3180	5144	1391	3818	5696	7008	5251	6817	2407	5380
107985733	53	32	39	29	87	49	42	42	51	36	18	44	43	38	40	59	18	29
102724450	8	6	1	10	9	21	7	8	8	6	4	2	8	10	15	8	5	2
388591	441	248	174	330	570	442	157	154	590	311	340	253	510	387	222	586	257	236
23463	1621	1083	1272	1441	1267	1912	1874	2285	1242	1127	828	1994	2304	2210	1054	1483	1072	1396
148645	6	0	5	0	3	8	5	2	4	3	3	8	1	0	1	7	3	3
390992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387509	582	1872	1821	640	523	288	144	193	1123	801	418	252	378	518	973	362	1338	486
11332	1805	639	793	581	1549	1912	1911	2055	545	799	377	1609	2075	2130	783	2256	762	404
54626	244	268	181	18	579	19	53	57	340	231	124	126	425	388	256	114	214	139
83715	147	1311	1480	497	896	274	188	152	1236	977	1252	1721	549	455	1861	96	2366	1045
100422975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8718	264	494	546	247	352	312	274	343	413	557	552	460	243	211	370	208	249	473
57449	736	1225	1629	649	747	773	614	1073	771	836	292	1257	709	627	197	654	432	1003
79707	267	278	344	443	312	536	502	714	257	298	175	390	620	497	271	253	238	358
80835	0	2	1	13	4	0	8	1	2	3	3	0	0	1	1	0	7	0
107984912	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0
3104	269	298	320	329	259	340	202	204	402	354	336	250	256	330	697	199	391	330
9903	505	397	472	1485	418	558	367	437	497	640	214	311	510	648	202	431	673	591
107984913	1	2	3	44	0	0	0	3	5	16	0	2	0	2	4	0	7	4
148479	225	307	315	447	187	258	237	303	183	269	137	280	249	343	169	264	245	443
90326	649	413	464	484	549	767	880	1023	515	553	333	691	647	761	804	548	566	466
55735	1097	871	1009	660	783	1487	1506	2362	977	757	597	1622	1305	1008	1047	961	882	921
100505887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110841581	12	2	9	5	3	4	5	4	2	16	5	7	0	4	21	7	3	5
23261	642	502	628	653	725	867	719	572	417	529	296	519	545	716	828	612	534	521
105376692	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928836	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0
105376691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376689	16	17	44	10	13	137	12	18	12	12	3	66	18	19	10	23	2	13
9341	2384	1645	1618	1420	2212	1978	2277	2370	1359	1469	1100	1949	1921	2138	2258	2768	1464	1780
8863	194	288	214	1800	167	141	50	129	349	123	181	212	87	55	259	219	572	639
10911	125	7	1	2	2	48	37	23	0	11	1	9	3	2	0	145	1	8
3604	87	53	38	17	43	152	118	106	26	28	17	43	45	60	12	170	18	124
11315	2165	1074	1410	1156	2432	2555	3433	2513	902	1116	443	1450	2118	3187	1050	2284	886	1155
54206	1446	2162	1079	1737	1933	2098	1760	1512	1157	704	1716	3762	3148	2663	1177	1330	1968	3689
107984915	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0
102724539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376695	0	4	1	3	0	0	0	0	0	0	1	0	0	0	3	0	2	0
50651	20	30	25	122	23	11	7	10	27	30	19	17	24	53	31	36	35	63
473	2738	3388	3989	4738	1370	1557	1392	2810	3239	2596	3717	2033	1443	903	1660	1851	3773	3704
102724552	3	2	3	12	4	1	1	2	5	1	16	12	0	2	11	4	18	7
106632271	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1
2023	21189	7298	9391	4435	19185	34608	35673	33323	5950	11202	4073	20120	25151	36688	7652	26558	6912	10463
102465436	0	2	1	1	0	1	3	5	0	6	1	5	36	4	0	2	0	2
100505975	9	3	8	6	11	11	29	10	0	1	5	9	6	5	13	22	2	3
112268261	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	1	0	0
765	0	0	0	1	1	4	0	0	0	2	1	7	1	0	0	0	0	0
155184	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
6518	173	63	19	106	54	113	185	327	267	134	98	114	27	55	99	262	162	258
80045	366	448	578	90	299	480	403	328	186	455	79	352	455	331	167	290	152	281
106614088	72	107	168	71	223	186	136	134	120	83	32	223	36	84	38	72	37	212
407040	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
102724571	31	5	10	3	26	5	18	13	6	3	6	15	4	3	6	12	1	18
9563	2196	1966	2640	1750	1018	798	780	1800	1585	1148	886	1474	1251	1161	1083	1292	888	2067
80176	691	1095	728	563	322	443	441	524	532	839	428	1007	783	1629	794	889	539	1550
100506022	1	6	11	43	4	4	10	12	19	10	5	5	11	9	5	14	12	25
84275	298	293	412	294	367	360	579	364	184	198	79	259	563	638	342	242	255	265
199953	585	315	519	218	319	775	672	899	153	438	78	452	590	612	111	541	158	388
107985734	31	11	21	12	11	38	25	30	10	29	4	14	24	34	19	25	7	6
105376712	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
5293	297	292	223	376	197	155	194	280	432	372	392	285	272	466	486	369	480	371
644997	0	2	0	0	2	0	0	1	1	1	1	1	0	2	4	0	1	1
101929074	1	2	7	7	2	16	5	2	8	6	4	5	0	10	3	3	5	8
22883	7673	8578	9095	5727	4507	4637	4069	6453	7356	4553	8440	7512	6451	5533	5585	5930	9945	4340
56998	572	385	495	269	980	825	825	550	314	394	202	533	359	620	385	510	362	472
105376717	44	22	40	10	83	71	78	57	10	37	17	48	22	40	15	41	23	39
84328	788	841	892	709	628	538	1095	1060	602	440	509	849	646	661	790	670	824	435
64802	320	266	254	196	330	272	295	200	289	127	240	315	227	201	460	317	352	130
113391335	0	0	1	1	0	0	1	0	1	1	0	2	0	0	0	0	2	1
100847055	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
116362	17	21	17	30	12	4	14	7	470	104	12	17	9	28	52	20	11	62
10277	1011	1063	1148	1612	923	880	1141	1656	841	784	649	1316	464	374	439	955	931	800
23095	1398	1180	1297	1676	613	828	718	1452	881	687	1089	1444	1146	628	408	955	1408	1025
105376725	2	1	3	5	0	1	1	2	9	2	2	2	3	0	4	0	1	3
5226	2527	1386	2129	429	2604	4271	4000	3489	1361	884	520	2540	2564	4335	1291	2720	712	1841
100526739	85	50	56	57	90	122	190	133	32	40	21	58	76	106	37	95	30	35
378708	91	52	59	60	99	131	185	139	33	38	21	63	84	130	44	118	35	36
1325	11	7	9	8	5	14	42	25	11	14	2	6	9	15	18	7	6	6
1676	853	649	1028	916	864	2198	1381	1289	425	642	197	763	809	559	345	792	397	815
5195	482	429	473	391	512	715	657	595	388	472	301	477	470	658	479	494	372	391
54897	721	1102	1137	2596	510	626	503	888	1172	823	1520	1308	587	362	624	558	2154	721
105376733	1	0	0	0	7	0	2	0	2	0	0	1	0	0	8	0	3	0
105376735	18	1	2	0	1	1	0	3	0	4	0	1	0	0	0	10	0	13
148345	71	12	6	2	10	3	4	4	6	9	2	7	6	9	17	67	14	57
23435	2145	1854	2278	1604	1640	2390	2418	2695	1706	1793	1139	2118	2058	2407	1877	1906	1600	2279
10747	19	57	51	103	27	28	23	32	84	30	55	40	10	9	58	17	40	21
6723	2112	990	1516	626	1604	2815	2367	2393	385	1893	242	1232	2408	3397	430	2435	402	1201
5394	1239	944	1122	862	1288	1614	1605	1672	854	1059	574	981	1418	1133	574	1294	724	1215
105376736	26	23	30	21	24	35	46	45	21	16	6	29	32	23	2	45	18	30
2475	1219	1019	1145	1552	814	1308	1040	1708	904	609	794	1283	1384	788	490	1019	933	1272
100873935	16	10	20	14	4	11	6	19	11	8	8	14	16	11	2	9	11	11
10218	0	10	4	94	0	0	0	1	55	28	7	1	2	1	12	4	38	4
29914	459	410	527	297	551	561	550	696	261	355	125	337	474	431	203	468	227	395
105376737	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
105376740	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
57540	11	20	36	9	14	2	2	3	7	4	5	5	6	16	4	5	10	4
112268221	0	1	2	0	1	0	0	1	0	0	1	2	2	0	0	2	2	1
101929181	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
26232	9	19	21	72	11	12	23	14	15	35	15	102	7	20	18	21	37	11
93611	94	188	352	293	197	280	141	131	168	192	103	218	427	430	106	139	169	257
26270	280	133	171	156	432	391	261	222	87	89	55	458	250	240	114	444	135	168
10459	465	256	509	229	349	969	706	470	82	286	61	245	747	972	129	581	136	329
374946	13	7	5	4	0	8	2	6	16	13	1	3	37	20	3	17	4	8
57085	642	348	456	248	758	1366	809	625	223	543	128	453	747	1182	240	798	200	408
284498	111	108	58	170	84	140	50	57	124	45	150	214	101	88	67	106	201	139
102724659	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4524	452	436	307	750	361	533	275	364	610	237	716	1044	416	413	687	383	806	630
1185	173	423	436	591	159	253	249	331	420	382	374	621	311	246	314	227	441	555
100379251	20	60	48	58	29	31	29	34	62	27	72	89	42	27	50	21	64	52
4878	4	10	3	11	15	11	5	4	9	12	35	31	4	5	30	2	36	11
4879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
26829	0	0	2	0	0	0	1	3	1	0	0	0	0	1	0	0	0	0
90231	2446	2320	2547	1761	2588	2474	2842	3143	2263	2264	2242	2351	2056	2373	3336	2369	3324	1402
5351	2215	1632	1917	1694	1930	3158	3796	4155	1095	2233	601	2512	2621	4189	914	2153	1158	2576
9927	2266	1831	1635	3183	1402	2209	2092	2845	1771	1068	1883	2392	1980	1751	1656	2106	2331	1762
60672	566	382	470	268	712	1084	748	610	263	815	233	643	641	932	416	639	301	507
102466982	1	0	0	1	0	3	1	0	1	1	0	3	0	2	1	0	2	3
943	28	23	12	29	15	7	13	38	20	24	5	18	15	45	14	40	19	24
102465836	9	15	8	6	3	5	13	27	7	9	6	16	16	10	3	6	3	8
7133	1051	1315	1608	853	818	1512	1709	2426	847	1035	878	1461	1682	1582	752	1241	728	1579
100616438	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2
107984917	1	3	1	2	1	0	0	2	4	0	0	0	2	4	2	1	1	0
55187	1237	1329	1317	2151	530	897	544	1028	1596	712	1268	1360	878	517	764	795	1392	1359
677885	3	4	10	3	2	7	2	6	9	2	5	10	5	4	2	8	4	17
105376744	0	2	0	2	0	1	1	1	5	1	1	1	2	0	0	2	2	3
9249	1732	1396	1454	958	2112	445	621	599	1457	1695	1605	1415	641	916	1672	1946	1891	1585
102466722	0	2	6	1	4	0	0	0	6	3	2	5	0	4	2	6	4	6
343066	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	2	1
126767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93190	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
390999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343069	1	0	0	0	1	0	1	0	0	1	0	0	1	1	0	3	0	1
65122	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649330	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0
441873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
649324	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
440563	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645354	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101060301	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1
343070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
343068	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645382	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
653619	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
729528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126755	2	0	2	8	0	0	0	1	0	0	0	0	0	2	0	2	0	10
102724856	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984918	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10630	458	572	444	207	200	464	493	603	115	286	51	734	1384	2851	63	664	75	1670
107984919	0	0	2	0	0	2	0	0	0	1	0	1	1	0	0	2	0	1
105378612	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
105376756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7799	704	955	943	1225	668	634	525	644	731	776	734	1026	773	534	439	682	748	1116
23254	191	352	438	175	199	155	101	165	191	267	227	105	229	190	195	136	113	233
107985467	0	4	3	0	1	0	0	0	2	3	0	0	0	0	0	0	2	2
107985468	0	1	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0
105376762	0	2	2	0	1	0	0	0	1	0	0	0	0	0	3	0	0	1
105376759	0	0	1	2	0	0	0	1	1	3	1	0	1	3	0	1	0	1
107985469	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0
200197	93	85	111	82	86	34	74	76	108	176	90	46	33	22	71	61	97	102
55092	560	435	506	472	592	731	570	634	467	578	392	451	535	716	406	602	547	379
727684	2	1	0	0	0	0	1	1	5	1	1	1	2	0	2	1	0	8
114827	26	15	16	18	39	17	14	29	16	28	6	8	17	13	4	23	21	36
101927417	7	4	6	16	8	5	7	13	3	10	5	4	4	2	4	7	5	6
101927441	3	6	10	13	13	4	3	4	4	17	8	15	12	0	8	6	4	27
79180	4811	4343	4911	2133	5179	4737	3264	3447	3320	4089	2766	4395	3683	4889	5008	5343	4224	3234
11330	1	1	1	4	0	0	1	1	8	3	1	2	2	2	3	2	0	5
63036	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
105376767	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
51032	3	4	5	8	5	10	3	0	12	4	6	5	3	4	9	0	17	7
842	275	295	308	240	256	260	177	169	301	197	184	302	205	268	240	196	293	260
23341	582	607	700	333	570	750	696	941	453	393	358	796	640	396	471	563	481	441
107397391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79814	1096	576	1200	64	727	1519	1370	1278	150	323	126	1200	623	562	349	1141	228	363
84301	939	908	1267	484	404	852	588	1118	605	543	468	1020	1090	544	334	635	457	960
6248	152	145	196	86	73	153	135	200	89	81	57	175	205	95	14	120	78	199
23207	853	1003	1010	1115	767	1004	903	1371	1067	1160	559	1071	980	1545	844	894	961	1483
